array('d', [-87.384375, 0.280078125, 59.75, 0.1400390625])
array('d', [-87.384375, 0.280078125, 59.75, 0.1400390625])
array('d', [-86.73085937500001, -0.1400390625, 59.75, 0.09335937500000001])
array('d', [-87.7578125, 1.0736328125, 58.676367187500006, -0.2333984375])
array('d', [-87.7578125, 0.280078125, 60.1234375, 0.5134765625000001])
array('d', [-87.47773437500001, 0.280078125, 60.1234375, 0.5134765625000001])
array('d', [-86.6375, 0.56015625, 59.3298828125, 0.5134765625000001])
array('d', [-86.6841796875, 0.5134765625000001, 59.3298828125, 0.5134765625000001])
array('d', [-86.6375, 0.5134765625000001, 58.6296875, 0.046679687500000004])
array('d', [-86.82421875, 0.5134765625000001, 60.4501953125, -0.0])
array('d', [-86.82421875, 0.5134765625000001, 58.25625, 0.046679687500000004])
array('d', [-85.70390625, 0.1400390625, 58.25625, 0.046679687500000004])
array('d', [-85.70390625, 0.1400390625, 58.25625, 0.046679687500000004])
array('d', [-85.70390625, 0.09335937500000001, 60.030078125, 0.18671875000000002])
array('d', [-86.5908203125, 0.09335937500000001, 59.75, 0.2333984375])
array('d', [-86.1240234375, 0.1400390625, 59.75, 0.2333984375])
array('d', [-86.1240234375, 0.1400390625, 59.75, 0.2333984375])
array('d', [-86.1240234375, 0.1400390625, 59.75, 0.2333984375])
array('d', [-86.1240234375, 0.1400390625, 59.75, 0.2333984375])
array('d', [-86.54414062500001, -0.280078125, 59.003125000000004, 0.18671875000000002])
array('d', [-87.66445312500001, -4.1544921875, 63.0642578125, 0.18671875000000002])
array('d', [-86.07734375000001, 0.09335937500000001, 59.75, 0.046679687500000004])
array('d', [-86.73085937500001, 0.09335937500000001, 59.4232421875, 0.3267578125])
array('d', [-86.73085937500001, 0.09335937500000001, 58.676367187500006, 0.2333984375])
array('d', [-86.6841796875, -0.280078125, 58.676367187500006, 0.2333984375])
array('d', [-86.917578125, 0.09335937500000001, 60.1234375, 0.2333984375])
array('d', [-86.917578125, 0.09335937500000001, 60.1234375, 0.2333984375])
array('d', [-86.917578125, 0.09335937500000001, 60.1234375, 0.2333984375])
array('d', [-85.84394531250001, 0.5134765625000001, 58.6296875, 0.18671875000000002])
array('d', [-85.84394531250001, 0.5134765625000001, 60.8236328125, 0.09335937500000001])
array('d', [-86.03066406250001, 0.8869140625, 60.8236328125, 0.09335937500000001])
array('d', [-86.03066406250001, 0.8869140625, 60.8236328125, 0.09335937500000001])
array('d', [-86.917578125, 0.1400390625, 58.6296875, -0.18671875000000002])
array('d', [-86.6841796875, 0.5134765625000001, 59.75, -0.0])
array('d', [-87.1509765625, -0.2333984375, 58.302929687500004, 0.2333984375])
array('d', [-87.1509765625, -0.2333984375, 58.302929687500004, 0.2333984375])
array('d', [-87.1509765625, -0.2333984375, 58.302929687500004, 0.2333984375])
array('d', [-87.1509765625, -0.2333984375, 58.302929687500004, 0.2333984375])
