t,dist,holg_izq,holg_der,e_lat,e_rumbo_deg,v,w,n_front,modo,holg_verdad
23.97,0.706,0.09305660441088709,0.062433463586882794,-0.0010548311680620565,2.906780006498675,0.06,0.06660584210425756,0,memoria,nan
24.07,0.712,0.09123700913819453,0.06220704767718127,-0.0007317874024473509,2.8923621178495247,0.06,0.06913577655261953,0,memoria,nan
24.17,0.719,0.09941911278771232,0.06259553233085964,-0.00042223197657836886,2.8619822345574857,0.06,0.07112643190071383,0,memoria,nan
24.47,0.735,0.09618443409484959,0.056509859891265724,0.00038535498981781546,2.6747249418769594,0.06,0.07349233013981069,0,memoria,nan
24.57,0.742,0.09632601915632133,0.05663096789617393,0.0006930323921612025,2.578665213114548,0.06,0.07374658894268601,0,memoria,nan
24.67,0.748,0.09182688809253581,0.054818589069999785,0.0009674994745341586,2.503052538725104,0.06,0.07423725749754133,0,memoria,nan
24.78,0.756,0.08825180879939952,0.05308933807314692,0.0012845090689563576,2.4383537318595274,0.06,0.07539653304446678,0,memoria,nan
24.87,0.762,0.08859329157676828,0.0548185393562134,0.0015342671192613913,2.3681744805695595,0.06,0.07580706699482045,0,memoria,nan
24.97,0.768,0.08583503152456318,0.05357548434689497,0.0017829467342208444,2.343994866859795,0.06,0.07741216272281191,0,memoria,nan
25.07,0.773,0.08190945774006064,0.052914222506662556,0.002003348980213683,2.2144427293278,0.06,0.0760041159073527,0,memoria,nan
25.17,0.779,0.07652591145102434,0.05229502986753848,0.0022438972837253365,2.14256783612072,0.06,0.07628737033498331,0,memoria,nan
25.28,0.786,0.0747766786166329,0.049446698069414874,0.002481703430321544,2.0111269072546496,0.06,0.0749865101834603,0,memoria,nan
25.37,0.791,0.07008834580120529,0.05229502986753848,0.0026738827991759223,1.9770203907073032,0.06,0.07582321798794402,0,memoria,nan
25.87,0.823,0.06423497242603257,0.059606304523698805,0.003590374891183648,1.3224118418296567,0.06,0.06693403508158781,0,memoria,nan
25.97,0.829,0.058933775096688415,0.05794370575566027,0.003729232594905124,1.1860764256587808,0.06,0.06461450156619333,0,memoria,nan
26.07,0.835,0.05758116766665124,0.05926422187835212,0.0038440516269276567,1.0124763177893015,0.06,0.06110303265818653,0,memoria,nan
26.17,0.841,0.06008213923330626,0.06287698426964611,0.003940253560450767,0.8805829302365545,0.06,0.05851588924828801,0,memoria,nan
26.27,0.846,0.05692523919922488,0.06025005723762872,0.004008446252042816,0.7161676491428292,0.06,0.054825241479100215,0,memoria,nan
26.57,0.865,0.05241192186867825,0.06529435194913841,0.004171224665059384,0.22926518111513983,0.06,0.043543170391494926,0,memoria,nan
26.67,0.871,0.04820646985807975,0.06529435194913841,0.004183003448457505,0.034966294449254684,0.06,0.03856244648415951,0,memoria,nan
26.79,0.877,0.051994307627222625,0.06364494176190155,0.004178781003073548,-0.12348379791816871,0.06,0.034376230757852885,0,memoria,nan
26.87,0.881,0.048980720304205194,0.06598034165507388,0.00416373704353367,-0.27372352725367594,0.06,0.030307568205679418,0,memoria,nan
26.97,0.887,0.051220788183628574,0.07078566435835931,0.0041343006073315675,-0.3947070574142409,0.06,0.026875298866878908,0,memoria,nan
27.07,0.893,0.050701347332388735,0.06645223135525452,0.0040844057527517665,-0.5844843266341972,0.06,0.021457887885662802,0,memoria,nan
27.57,0.923,0.039250198673372705,0.0889226576705891,0.00360949040347008,-1.2142599563955123,0.06,0.0006961623098940273,0,memoria,nan
27.67,0.929,0.04200341217848569,0.09161121540643996,0.0034878741648555513,-1.3206846871013107,0.06,-0.0031845767721834783,0,memoria,nan
27.98,0.948,0.039335887477957854,0.09571157606059749,0.0030048900940984405,-1.641952587170503,0.06,-0.015942207364760756,0,memoria,nan
28.07,0.953,0.03933586522614263,0.09738575291616886,0.0028382475859784206,-1.7034896601960816,0.06,-0.01905302674234574,0,memoria,nan
28.17,0.96,0.039622742806118716,0.09964993162737784,0.0026326172015078177,-1.7765834159813794,0.06,-0.022817290254234315,0,memoria,nan
28.27,0.966,0.03962276556773203,0.10133098536284518,0.00245150547722265,-1.8043359969688908,0.06,-0.025173856644038504,0,memoria,nan
28.57,0.985,0.04843453161036837,0.10363541212969057,0.0018275762625831644,-1.9585057834372288,0.06,-0.034825375147247525,0,memoria,nan
28.67,0.991,0.047259127499521714,0.10715740723834194,0.0016246144623056485,-1.993382595963321,0.06,-0.03756510416651683,0,memoria,nan
28.78,0.997,0.04952634491853802,0.10740700122478702,0.001391123090493199,-2.0174567380412185,0.06,-0.04029678607860721,0,memoria,nan
28.88,1.003,0.04984692031743526,0.10942224662574979,0.0011788318771320788,-2.0288320105763757,0.06,-0.04250521093743255,0,memoria,nan
28.98,1.009,0.04959142282663587,0.11188527634768236,0.0009829843739542505,-2.044997922916094,0.06,-0.04469106106140831,0,memoria,nan
